"","h.log10.q.blue","h.log10.q.brown","h.log10.q.turquoise"
"KEGG_MTOR_SIGNALING_PATHWAY",-2.49663148924518,0.23273442914865,1.22623474051308
"BIOCARTA_AKT_PATHWAY",-13.4987578498058,0.835841383373988,7.52076889695683
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-8.35481574908017,0.055883128900245,8.0576492313733
"KEGG_VEGF_SIGNALING_PATHWAY",-11.2015176909192,1.97385661041197,2.88610272751039
"KEGG_MAPK_SIGNALING_PATHWAY",-14.8681674565865,0.253947155809227,12.2274963555865
"HALLMARK_KRAS_SIGNALING_UP",-26.4909223847909,1.55417644381234,16.1229828132493
"PID_PI3KCI_PATHWAY",-25.7906007252721,5.67473709696991,6.46565247017333
"PID_HIF1_TFPATHWAY",-10.2803797248908,0.393263431718567,6.93303250030227
